	id	drug_agent	pheno_eucast
1	ECDC_BE18_497	CIP	S
2	ERR11171225	CIP	R
3	ERR11171451	CIP	R
4	ERR11171618	CIP	R
5	ERR11171778	CIP	S
6	ERR11171779	CIP	R
7	ERR11171780	CIP	S
8	ERR11171781	CIP	R
9	ERR11171782	CIP	S
10	ERR11171783	CIP	R
11	ERR11171784	CIP	S
12	ERR11171785	CIP	R
13	ERR11171786	CIP	S
14	ERR11171787	CIP	R
15	ERR11171788	CIP	R
16	ERR11171789	CIP	R
17	ERR11171790	CIP	R
18	ERR11171791	CIP	S
19	ERR11171792	CIP	S
20	ERR11171793	CIP	S
21	ERR11171794	CIP	R
22	ERR11171826	CIP	S
23	ERR11171827	CIP	S
24	ERR11171828	CIP	S
25	ERR11171829	CIP	R
26	ERR11171830	CIP	S
27	ERR11171831	CIP	R
28	ERR11171832	CIP	S
29	ERR11171833	CIP	R
30	ERR11171834	CIP	S
31	ERR11171835	CIP	R
32	ERR11171844	CIP	R
33	ERR11171845	CIP	S
34	ERR11171846	CIP	R
35	ERR11171848	CIP	S
36	ERR11171849	CIP	R
37	ERR11171850	CIP	S
38	ERR11171851	CIP	R
39	ERR11171852	CIP	R
40	ERR11171853	CIP	S
41	ERR11171854	CIP	R
42	ERR11171855	CIP	R
43	ERR11171856	CIP	R
44	ERR11171857	CIP	R
45	ERR11171858	CIP	R
46	ERR11171859	CIP	S
47	ERR11171861	CIP	S
48	ERR11171862	CIP	R
49	ERR11171863	CIP	R
50	ERR11171864	CIP	S
51	ERR11171866	CIP	R
52	ERR11171868	CIP	S
53	ERR11171870	CIP	R
54	ERR11171871	CIP	S
55	ERR11171872	CIP	R
56	ERR11171874	CIP	R
57	ERR11171876	CIP	S
58	ERR11171877	CIP	S
59	ERR11171878	CIP	R
60	ERR11171879	CIP	S
61	ERR11171881	CIP	R
62	ERR11171906	CIP	R
63	ERR11171907	CIP	S
64	ERR11171908	CIP	S
65	ERR11171909	CIP	R
66	ERR11171910	CIP	S
67	ERR11171911	CIP	R
68	ERR11171912	CIP	R
69	ERR11171913	CIP	R
70	ERR11171915	CIP	S
71	ERR11171916	CIP	R
72	ERR11171918	CIP	S
73	ERR11171920	CIP	R
74	ERR11171921	CIP	S
75	ERR11171923	CIP	S
76	ERR11171924	CIP	R
77	ERR11172152	CIP	S
78	ERR11172153	CIP	S
79	ERR11172482	CIP	R
80	ERR11172989	CIP	S
81	ERR11172990	CIP	R
82	ERR11172995	CIP	R
83	ERR11172996	CIP	S
84	ERR11172997	CIP	S
85	ERR11172998	CIP	S
86	ERR11172999	CIP	R
87	ERR11173014	CIP	R
88	ERR11173015	CIP	S
89	ERR11173017	CIP	S
90	ERR11173152	CIP	R
91	ERR11173153	CIP	R
92	ERR11173154	CIP	S
93	ERR11173155	CIP	S
94	ERR11173157	CIP	S
95	ERR11173158	CIP	R
96	ERR11173161	CIP	R
97	ERR11173162	CIP	S
98	ERR11173163	CIP	S
99	ERR11173165	CIP	R
100	ERR11173166	CIP	R
101	ERR11173167	CIP	R
102	ERR11173168	CIP	S
103	ERR11173169	CIP	R
104	ERR11173170	CIP	S
105	ERR11173171	CIP	S
106	ERR11173172	CIP	R
107	ERR11173173	CIP	S
108	ERR11173175	CIP	R
109	ERR11173176	CIP	S
110	ERR11173177	CIP	R
111	ERR11173178	CIP	R
112	ERR11173180	CIP	S
113	ERR11173182	CIP	S
114	ERR11173183	CIP	S
115	ERR11173184	CIP	R
116	ERR11173185	CIP	R
117	ERR11173186	CIP	R
118	ERR11173195	CIP	S
119	ERR11173200	CIP	S
120	ERR11173201	CIP	S
121	ERR11173202	CIP	S
122	ERR11173236	CIP	S
123	ERR11173237	CIP	R
124	ERR11173238	CIP	R
125	ERR11173239	CIP	S
126	ERR11173240	CIP	R
127	ERR11173241	CIP	R
128	ERR11173252	CIP	R
129	ERR11173253	CIP	S
130	ERR11173254	CIP	S
131	ERR11173255	CIP	S
132	ERR11173256	CIP	S
133	ERR11173288	CIP	R
134	ERR11173289	CIP	S
135	ERR11173290	CIP	R
136	ERR11173291	CIP	R
