"id"	"drug_agent"	"pheno_eucast"
"1"	"ECDC_BE18_497"	"CIP"	"S"
"2"	"ECDC_BE18_497"	"CFM"	"S"
"3"	"ECDC_BE18_497"	"CRO"	"S"
"4"	"ERR11171225"	"CIP"	"R"
"5"	"ERR11171225"	"CFM"	"S"
"6"	"ERR11171225"	"CRO"	"S"
"7"	"ERR11171451"	"CIP"	"R"
"8"	"ERR11171451"	"CFM"	"S"
"9"	"ERR11171451"	"CRO"	"S"
"10"	"ERR11171618"	"CIP"	"R"
"11"	"ERR11171618"	"CFM"	"S"
"12"	"ERR11171618"	"CRO"	"S"
"13"	"ERR11171778"	"CIP"	"S"
"14"	"ERR11171778"	"CFM"	"S"
"15"	"ERR11171778"	"CRO"	"S"
"16"	"ERR11171779"	"CIP"	"R"
"17"	"ERR11171779"	"CFM"	"S"
"18"	"ERR11171779"	"CRO"	"S"
"19"	"ERR11171780"	"CIP"	"S"
"20"	"ERR11171780"	"CFM"	"S"
"21"	"ERR11171780"	"CRO"	"S"
"22"	"ERR11171781"	"CIP"	"R"
"23"	"ERR11171781"	"CFM"	"S"
"24"	"ERR11171781"	"CRO"	"S"
"25"	"ERR11171782"	"CIP"	"S"
"26"	"ERR11171782"	"CFM"	"S"
"27"	"ERR11171782"	"CRO"	"S"
"28"	"ERR11171783"	"CIP"	"R"
"29"	"ERR11171783"	"CFM"	"S"
"30"	"ERR11171783"	"CRO"	"S"
"31"	"ERR11171784"	"CIP"	"S"
"32"	"ERR11171784"	"CFM"	"S"
"33"	"ERR11171784"	"CRO"	"S"
"34"	"ERR11171785"	"CIP"	"R"
"35"	"ERR11171785"	"CFM"	"S"
"36"	"ERR11171785"	"CRO"	"S"
"37"	"ERR11171786"	"CIP"	"S"
"38"	"ERR11171786"	"CFM"	"S"
"39"	"ERR11171786"	"CRO"	"S"
"40"	"ERR11171787"	"CIP"	"R"
"41"	"ERR11171787"	"CFM"	"S"
"42"	"ERR11171787"	"CRO"	"S"
"43"	"ERR11171788"	"CIP"	"R"
"44"	"ERR11171788"	"CFM"	"S"
"45"	"ERR11171788"	"CRO"	"S"
"46"	"ERR11171789"	"CIP"	"R"
"47"	"ERR11171789"	"CFM"	"S"
"48"	"ERR11171789"	"CRO"	"S"
"49"	"ERR11171790"	"CIP"	"R"
"50"	"ERR11171790"	"CFM"	"S"
"51"	"ERR11171790"	"CRO"	"S"
"52"	"ERR11171791"	"CIP"	"S"
"53"	"ERR11171791"	"CFM"	"S"
"54"	"ERR11171791"	"CRO"	"S"
"55"	"ERR11171792"	"CIP"	"S"
"56"	"ERR11171792"	"CFM"	"S"
"57"	"ERR11171792"	"CRO"	"S"
"58"	"ERR11171793"	"CIP"	"S"
"59"	"ERR11171793"	"CFM"	"S"
"60"	"ERR11171793"	"CRO"	"S"
"61"	"ERR11171794"	"CIP"	"R"
"62"	"ERR11171794"	"CFM"	"S"
"63"	"ERR11171794"	"CRO"	"S"
"64"	"ERR11171826"	"CIP"	"S"
"65"	"ERR11171826"	"CFM"	"S"
"66"	"ERR11171826"	"CRO"	"S"
"67"	"ERR11171827"	"CIP"	"S"
"68"	"ERR11171827"	"CFM"	"S"
"69"	"ERR11171827"	"CRO"	"S"
"70"	"ERR11171828"	"CIP"	"S"
"71"	"ERR11171828"	"CFM"	"S"
"72"	"ERR11171828"	"CRO"	"S"
"73"	"ERR11171829"	"CIP"	"R"
"74"	"ERR11171829"	"CFM"	"S"
"75"	"ERR11171829"	"CRO"	"S"
"76"	"ERR11171830"	"CIP"	"S"
"77"	"ERR11171830"	"CFM"	"S"
"78"	"ERR11171830"	"CRO"	"S"
"79"	"ERR11171831"	"CIP"	"R"
"80"	"ERR11171831"	"CFM"	"S"
"81"	"ERR11171831"	"CRO"	"S"
"82"	"ERR11171832"	"CIP"	"S"
"83"	"ERR11171832"	"CFM"	"S"
"84"	"ERR11171832"	"CRO"	"S"
"85"	"ERR11171833"	"CIP"	"R"
"86"	"ERR11171833"	"CFM"	"S"
"87"	"ERR11171833"	"CRO"	"S"
"88"	"ERR11171834"	"CIP"	"S"
"89"	"ERR11171834"	"CFM"	"S"
"90"	"ERR11171834"	"CRO"	"S"
"91"	"ERR11171835"	"CIP"	"R"
"92"	"ERR11171835"	"CFM"	"S"
"93"	"ERR11171835"	"CRO"	"S"
"94"	"ERR11171844"	"CIP"	"R"
"95"	"ERR11171844"	"CFM"	"S"
"96"	"ERR11171844"	"CRO"	"S"
"97"	"ERR11171845"	"CIP"	"S"
"98"	"ERR11171845"	"CFM"	"S"
"99"	"ERR11171845"	"CRO"	"S"
"100"	"ERR11171846"	"CIP"	"R"
"101"	"ERR11171846"	"CFM"	"S"
"102"	"ERR11171846"	"CRO"	"S"
"103"	"ERR11171848"	"CIP"	"S"
"104"	"ERR11171848"	"CFM"	"S"
"105"	"ERR11171848"	"CRO"	"S"
"106"	"ERR11171849"	"CIP"	"R"
"107"	"ERR11171849"	"CFM"	"S"
"108"	"ERR11171849"	"CRO"	"S"
"109"	"ERR11171850"	"CIP"	"S"
"110"	"ERR11171850"	"CFM"	"S"
"111"	"ERR11171850"	"CRO"	"S"
"112"	"ERR11171851"	"CIP"	"R"
"113"	"ERR11171851"	"CFM"	"S"
"114"	"ERR11171851"	"CRO"	"S"
"115"	"ERR11171852"	"CIP"	"R"
"116"	"ERR11171852"	"CFM"	"S"
"117"	"ERR11171852"	"CRO"	"S"
"118"	"ERR11171853"	"CIP"	"S"
"119"	"ERR11171853"	"CFM"	"S"
"120"	"ERR11171853"	"CRO"	"S"
"121"	"ERR11171854"	"CIP"	"R"
"122"	"ERR11171854"	"CFM"	"S"
"123"	"ERR11171854"	"CRO"	"S"
"124"	"ERR11171855"	"CIP"	"R"
"125"	"ERR11171855"	"CFM"	"S"
"126"	"ERR11171855"	"CRO"	"S"
"127"	"ERR11171856"	"CIP"	"R"
"128"	"ERR11171856"	"CFM"	"S"
"129"	"ERR11171856"	"CRO"	"S"
"130"	"ERR11171857"	"CIP"	"R"
"131"	"ERR11171857"	"CFM"	"S"
"132"	"ERR11171857"	"CRO"	"S"
"133"	"ERR11171858"	"CIP"	"R"
"134"	"ERR11171858"	"CFM"	"S"
"135"	"ERR11171858"	"CRO"	"S"
"136"	"ERR11171859"	"CIP"	"S"
"137"	"ERR11171859"	"CFM"	"S"
"138"	"ERR11171859"	"CRO"	"S"
"139"	"ERR11171861"	"CIP"	"S"
"140"	"ERR11171861"	"CFM"	"S"
"141"	"ERR11171861"	"CRO"	"S"
"142"	"ERR11171862"	"CIP"	"R"
"143"	"ERR11171862"	"CFM"	"S"
"144"	"ERR11171862"	"CRO"	"S"
"145"	"ERR11171863"	"CIP"	"R"
"146"	"ERR11171863"	"CFM"	"S"
"147"	"ERR11171863"	"CRO"	"S"
"148"	"ERR11171864"	"CIP"	"S"
"149"	"ERR11171864"	"CFM"	"S"
"150"	"ERR11171864"	"CRO"	"S"
"151"	"ERR11171866"	"CIP"	"R"
"152"	"ERR11171866"	"CFM"	"S"
"153"	"ERR11171866"	"CRO"	"S"
"154"	"ERR11171868"	"CIP"	"S"
"155"	"ERR11171868"	"CFM"	"S"
"156"	"ERR11171868"	"CRO"	"S"
"157"	"ERR11171870"	"CIP"	"R"
"158"	"ERR11171870"	"CFM"	"S"
"159"	"ERR11171870"	"CRO"	"S"
"160"	"ERR11171871"	"CIP"	"S"
"161"	"ERR11171871"	"CFM"	"S"
"162"	"ERR11171871"	"CRO"	"S"
